conversation_id,group,challenge_id,scorer,criterion,score_0_4,confidence_0_1,usable_for_inference,conv_word_count
483,treatment,ta_south_community,A,user_initiative,3,1.0,True,1642
483,treatment,ta_south_community,A,user_question_richness,3,1.0,True,1642
483,treatment,ta_south_community,A,user_proposal_specificity,3,1.0,True,1642
483,treatment,ta_south_community,A,user_acceptance_yes_and,3,1.0,True,1642
483,treatment,ta_south_community,A,user_reframing,2,1.0,True,1642
483,treatment,ta_south_community,A,user_engagement_depth,3,1.0,True,1642
483,treatment,ta_south_community,B,user_initiative,3,1.0,True,1642
483,treatment,ta_south_community,B,user_question_richness,3,1.0,True,1642
483,treatment,ta_south_community,B,user_proposal_specificity,2,1.0,True,1642
483,treatment,ta_south_community,B,user_acceptance_yes_and,3,1.0,True,1642
483,treatment,ta_south_community,B,user_reframing,2,1.0,True,1642
483,treatment,ta_south_community,B,user_engagement_depth,3,1.0,True,1642
523,treatment,joint_rikma_jewish_arab,A,user_initiative,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,A,user_question_richness,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,A,user_proposal_specificity,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,A,user_acceptance_yes_and,2,0.9,True,1660
523,treatment,joint_rikma_jewish_arab,A,user_reframing,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,A,user_engagement_depth,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,B,user_initiative,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,B,user_question_richness,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,B,user_proposal_specificity,4,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,B,user_acceptance_yes_and,2,0.9,True,1660
523,treatment,joint_rikma_jewish_arab,B,user_reframing,3,1.0,True,1660
523,treatment,joint_rikma_jewish_arab,B,user_engagement_depth,3,1.0,True,1660
547,treatment,natal_trauma_language,A,user_initiative,3,1.0,True,1736
547,treatment,natal_trauma_language,A,user_question_richness,2,1.0,True,1736
547,treatment,natal_trauma_language,A,user_proposal_specificity,3,1.0,True,1736
547,treatment,natal_trauma_language,A,user_acceptance_yes_and,3,1.0,True,1736
547,treatment,natal_trauma_language,A,user_reframing,2,1.0,True,1736
547,treatment,natal_trauma_language,A,user_engagement_depth,3,1.0,True,1736
547,treatment,natal_trauma_language,B,user_initiative,3,1.0,True,1736
