conversation_id,group,challenge_id,scorer,criterion,score_0_4,confidence_0_1,possible_biases,usable_for_inference,conv_word_count
483,treatment,ta_south_community,A,exploration_opening,3,0.9,none,True,1642
483,treatment,ta_south_community,A,reframing_quality,2,0.8,none,True,1642
483,treatment,ta_south_community,A,evaluative_discipline,2,0.8,none,True,1642
483,treatment,ta_south_community,A,agency_preservation,3,0.9,none,True,1642
483,treatment,ta_south_community,A,anchor_management,2,0.7,none,True,1642
483,treatment,ta_south_community,A,coregulation_uptake,3,0.9,none,True,1642
483,treatment,ta_south_community,A,timing_fit,3,0.8,none,True,1642
483,treatment,ta_south_community,A,implementation_grounding,3,0.8,none,True,1642
483,treatment,ta_south_community,A,cognitive_load_clarity,3,0.9,none,True,1642
483,treatment,ta_south_community,A,stance_integrity,3,0.8,none,True,1642
483,treatment,ta_south_community,A,premature_convergence_risk,1,0.8,none,True,1642
483,treatment,ta_south_community,A,runaway_divergence_risk,1,0.8,none,True,1642
483,treatment,ta_south_community,B,exploration_opening,3,0.9,none,True,1642
483,treatment,ta_south_community,B,reframing_quality,2,0.8,none,True,1642
483,treatment,ta_south_community,B,evaluative_discipline,2,0.8,none,True,1642
483,treatment,ta_south_community,B,agency_preservation,3,0.9,none,True,1642
483,treatment,ta_south_community,B,anchor_management,2,0.7,none,True,1642
483,treatment,ta_south_community,B,coregulation_uptake,3,0.9,none,True,1642
483,treatment,ta_south_community,B,timing_fit,3,0.9,none,True,1642
483,treatment,ta_south_community,B,implementation_grounding,3,0.9,none,True,1642
483,treatment,ta_south_community,B,cognitive_load_clarity,3,0.9,none,True,1642
483,treatment,ta_south_community,B,stance_integrity,3,0.8,none,True,1642
483,treatment,ta_south_community,B,premature_convergence_risk,1,0.8,none,True,1642
483,treatment,ta_south_community,B,runaway_divergence_risk,1,0.8,none,True,1642
523,treatment,joint_rikma_jewish_arab,A,exploration_opening,3,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,reframing_quality,3,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,evaluative_discipline,2,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,agency_preservation,4,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,anchor_management,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,coregulation_uptake,4,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,timing_fit,3,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,implementation_grounding,3,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,cognitive_load_clarity,4,1.0,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,stance_integrity,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,premature_convergence_risk,1,0.8,none,True,1660
523,treatment,joint_rikma_jewish_arab,A,runaway_divergence_risk,1,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,exploration_opening,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,reframing_quality,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,evaluative_discipline,2,0.8,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,agency_preservation,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,anchor_management,2,0.8,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,coregulation_uptake,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,timing_fit,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,implementation_grounding,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,cognitive_load_clarity,3,0.9,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,stance_integrity,3,0.8,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,premature_convergence_risk,1,0.8,none,True,1660
523,treatment,joint_rikma_jewish_arab,B,runaway_divergence_risk,1,0.8,none,True,1660
547,treatment,natal_trauma_language,A,exploration_opening,2,0.9,none,True,1736
547,treatment,natal_trauma_language,A,reframing_quality,2,0.8,none,True,1736
547,treatment,natal_trauma_language,A,evaluative_discipline,1,0.8,none,True,1736
547,treatment,natal_trauma_language,A,agency_preservation,3,0.9,none,True,1736
547,treatment,natal_trauma_language,A,anchor_management,1,0.7,none,True,1736
