conversation_id,group,criterion,score_A,score_B,final_score,decision,disagreement,high_disagreement,conv_word_count
483,treatment,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,user_proposal_specificity,3.0,2.0,2.5,keep_mean,1.0,False,1642
483,treatment,user_question_richness,3.0,3.0,3.0,keep_mean,0.0,False,1642
483,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,1642
523,treatment,user_acceptance_yes_and,2.0,2.0,2.0,keep_mean,0.0,False,1660
523,treatment,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,user_proposal_specificity,3.0,4.0,3.5,keep_mean,1.0,False,1660
523,treatment,user_question_richness,3.0,3.0,3.0,keep_mean,0.0,False,1660
523,treatment,user_reframing,3.0,3.0,3.0,keep_mean,0.0,False,1660
547,treatment,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1736
547,treatment,user_proposal_specificity,3.0,2.0,2.5,keep_mean,1.0,False,1736
547,treatment,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,1736
547,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,1736
549,control,user_acceptance_yes_and,2.0,1.0,1.5,keep_mean,1.0,False,580
549,control,user_engagement_depth,2.0,2.0,2.0,keep_mean,0.0,False,580
549,control,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,580
549,control,user_proposal_specificity,1.0,0.0,0.5,keep_mean,1.0,False,580
549,control,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,580
549,control,user_reframing,1.0,1.0,1.0,keep_mean,0.0,False,580
575,control,user_acceptance_yes_and,1.0,1.0,1.0,keep_mean,0.0,False,313
575,control,user_engagement_depth,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,user_proposal_specificity,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,313
575,control,user_reframing,1.0,1.0,1.0,keep_mean,0.0,False,313
593,treatment,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,2228
593,treatment,user_engagement_depth,3.0,2.0,2.5,keep_mean,1.0,False,2228
593,treatment,user_initiative,3.0,2.0,2.5,keep_mean,1.0,False,2228
593,treatment,user_proposal_specificity,3.0,2.0,2.5,keep_mean,1.0,False,2228
593,treatment,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,2228
593,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,2228
595,treatment,user_acceptance_yes_and,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,user_engagement_depth,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,user_initiative,3.0,2.0,2.5,keep_mean,1.0,False,3094
595,treatment,user_proposal_specificity,2.0,2.0,2.0,keep_mean,0.0,False,3094
595,treatment,user_question_richness,3.0,3.0,3.0,keep_mean,0.0,False,3094
595,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,3094
605,control,user_acceptance_yes_and,1.0,1.0,1.0,keep_mean,0.0,False,559
605,control,user_engagement_depth,2.0,2.0,2.0,keep_mean,0.0,False,559
605,control,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,559
605,control,user_proposal_specificity,2.0,1.0,1.5,keep_mean,1.0,False,559
605,control,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,559
605,control,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,559
661,treatment,user_acceptance_yes_and,1.0,2.0,1.5,keep_mean,1.0,False,1452
661,treatment,user_engagement_depth,1.0,1.0,1.0,keep_mean,0.0,False,1452
661,treatment,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,1452
661,treatment,user_proposal_specificity,2.0,2.0,2.0,keep_mean,0.0,False,1452
661,treatment,user_question_richness,1.0,1.0,1.0,keep_mean,0.0,False,1452
661,treatment,user_reframing,0.0,0.0,0.0,keep_mean,0.0,False,1452
667,treatment,user_acceptance_yes_and,1.0,1.0,1.0,keep_mean,0.0,False,1456
667,treatment,user_engagement_depth,2.0,2.0,2.0,keep_mean,0.0,False,1456
667,treatment,user_initiative,3.0,3.0,3.0,keep_mean,0.0,False,1456
667,treatment,user_proposal_specificity,2.0,2.0,2.0,keep_mean,0.0,False,1456
667,treatment,user_question_richness,2.0,2.0,2.0,keep_mean,0.0,False,1456
667,treatment,user_reframing,2.0,2.0,2.0,keep_mean,0.0,False,1456
679,treatment,user_acceptance_yes_and,1.0,1.0,1.0,keep_mean,0.0,False,2970
679,treatment,user_engagement_depth,1.0,1.0,1.0,keep_mean,0.0,False,2970
679,treatment,user_initiative,2.0,2.0,2.0,keep_mean,0.0,False,2970
