conversation_id,episode_id,scorer,criterion,score_0_4,confidence_0_1,usable_for_inference,episode_word_count,episode_type,condition_original_hidden,persona_family_original_hidden
154,154_e06,C_user,user_initiative,2.0,1.0,True,99,commitment_event,GPT,GPT
154,154_e06,C_user,user_question_richness,0.0,1.0,True,99,commitment_event,GPT,GPT
154,154_e06,C_user,user_proposal_specificity,2.0,1.0,True,99,commitment_event,GPT,GPT
154,154_e06,C_user,user_acceptance_yes_and,1.0,1.0,True,99,commitment_event,GPT,GPT
154,154_e06,C_user,user_reframing,0.0,1.0,True,99,commitment_event,GPT,GPT
154,154_e06,C_user,user_engagement_depth,1.0,1.0,True,99,commitment_event,GPT,GPT
155,155_e03,C_user,user_initiative,2.0,1.0,True,78,other,GPT,GPT
155,155_e03,C_user,user_question_richness,0.0,1.0,True,78,other,GPT,GPT
155,155_e03,C_user,user_proposal_specificity,3.0,1.0,True,78,other,GPT,GPT
155,155_e03,C_user,user_acceptance_yes_and,2.0,1.0,True,78,other,GPT,GPT
155,155_e03,C_user,user_reframing,1.0,1.0,True,78,other,GPT,GPT
155,155_e03,C_user,user_engagement_depth,2.0,1.0,True,78,other,GPT,GPT
157,157_e04,C_user,user_initiative,3.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,C_user,user_question_richness,1.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,C_user,user_proposal_specificity,4.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,C_user,user_acceptance_yes_and,0.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,C_user,user_reframing,0.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,C_user,user_engagement_depth,2.0,1.0,True,142,commitment_event,GPT,GPT
158,158_e02,C_user,user_initiative,1.0,1.0,True,98,other,GPT,GPT
158,158_e02,C_user,user_question_richness,0.0,1.0,True,98,other,GPT,GPT
158,158_e02,C_user,user_proposal_specificity,0.0,1.0,True,98,other,GPT,GPT
158,158_e02,C_user,user_acceptance_yes_and,0.0,1.0,True,98,other,GPT,GPT
158,158_e02,C_user,user_reframing,0.0,1.0,True,98,other,GPT,GPT
158,158_e02,C_user,user_engagement_depth,2.0,1.0,True,98,other,GPT,GPT
160,160_e01,C_user,user_initiative,2.0,1.0,True,43,opening_frame,GPT,GPT
160,160_e01,C_user,user_question_richness,2.0,1.0,True,43,opening_frame,GPT,GPT
160,160_e01,C_user,user_proposal_specificity,2.0,1.0,True,43,opening_frame,GPT,GPT
160,160_e01,C_user,user_acceptance_yes_and,0.0,1.0,True,43,opening_frame,GPT,GPT
160,160_e01,C_user,user_reframing,1.0,1.0,True,43,opening_frame,GPT,GPT
160,160_e01,C_user,user_engagement_depth,2.0,1.0,True,43,opening_frame,GPT,GPT
160,160_e03,C_user,user_initiative,3.0,1.0,True,114,other,GPT,GPT
160,160_e03,C_user,user_question_richness,0.0,1.0,True,114,other,GPT,GPT
160,160_e03,C_user,user_proposal_specificity,4.0,1.0,True,114,other,GPT,GPT
160,160_e03,C_user,user_acceptance_yes_and,3.0,1.0,True,114,other,GPT,GPT
160,160_e03,C_user,user_reframing,1.0,0.9,True,114,other,GPT,GPT
160,160_e03,C_user,user_engagement_depth,3.0,1.0,True,114,other,GPT,GPT
161,161_e02,C_user,user_initiative,0.0,1.0,True,84,other,GPT,GPT
161,161_e02,C_user,user_question_richness,0.0,1.0,True,84,other,GPT,GPT
161,161_e02,C_user,user_proposal_specificity,0.0,1.0,True,84,other,GPT,GPT
161,161_e02,C_user,user_acceptance_yes_and,0.0,1.0,True,84,other,GPT,GPT
161,161_e02,C_user,user_reframing,0.0,1.0,True,84,other,GPT,GPT
