conversation_id,episode_id,criterion,episode_type,condition_original_hidden,persona_family_original_hidden,episode_word_count,score_0_4_A,score_0_4_B,disagreement,high_disagreement,final_score,decision,final_confidence,usable_for_inference_A,usable_for_inference_B,possible_biases_A
154,154_e06,agency_preservation,commitment_event,GPT,GPT,99,3.0,3.0,0.0,False,3.0,keep_mean,0.925,True,True,none
154,154_e06,anchor_management,commitment_event,GPT,GPT,99,1.0,2.0,1.0,False,1.5,keep_mean,0.8500000000000001,True,True,none
154,154_e06,cognitive_load_clarity,commitment_event,GPT,GPT,99,3.0,3.0,0.0,False,3.0,keep_mean,0.9299999999999999,True,True,none
154,154_e06,coregulation_uptake,commitment_event,GPT,GPT,99,3.0,3.0,0.0,False,3.0,keep_mean,0.935,True,True,none
154,154_e06,evaluative_discipline,commitment_event,GPT,GPT,99,1.0,0.0,1.0,False,0.5,keep_mean,0.89,True,True,none
154,154_e06,exploration_opening,commitment_event,GPT,GPT,99,2.0,2.0,0.0,False,2.0,keep_mean,0.8500000000000001,True,True,none
154,154_e06,implementation_grounding,commitment_event,GPT,GPT,99,1.0,1.0,0.0,False,1.0,keep_mean,0.8600000000000001,True,True,none
154,154_e06,premature_convergence_risk,commitment_event,GPT,GPT,99,1.0,0.0,1.0,False,0.5,keep_mean,0.875,True,True,none
154,154_e06,reframing_quality,commitment_event,GPT,GPT,99,1.0,1.0,0.0,False,1.0,keep_mean,0.925,True,True,none
154,154_e06,runaway_divergence_risk,commitment_event,GPT,GPT,99,1.0,0.0,1.0,False,0.5,keep_mean,0.885,True,True,none
154,154_e06,stance_integrity,commitment_event,GPT,GPT,99,3.0,4.0,1.0,False,3.5,keep_mean,0.9450000000000001,True,True,none
154,154_e06,timing_fit,commitment_event,GPT,GPT,99,3.0,4.0,1.0,False,3.5,keep_mean,0.94,True,True,none
155,155_e03,agency_preservation,other,GPT,GPT,78,4.0,,,False,4.0,single_scorer,0.9,True,,none
155,155_e03,anchor_management,other,GPT,GPT,78,3.0,,,False,3.0,single_scorer,0.9,True,,none
155,155_e03,cognitive_load_clarity,other,GPT,GPT,78,3.0,,,False,3.0,single_scorer,0.9,True,,none
155,155_e03,coregulation_uptake,other,GPT,GPT,78,3.0,,,False,3.0,single_scorer,0.9,True,,none
155,155_e03,evaluative_discipline,other,GPT,GPT,78,1.0,,,False,1.0,single_scorer,0.7,True,,none
