conversation_id,episode_id,scorer,criterion,score_0_4,confidence_0_1,usable_for_inference,episode_word_count,episode_type,condition_original_hidden,persona_family_original_hidden
154,154_e06,A,exploration_opening,2.0,0.8,True,99,commitment_event,GPT,GPT
154,154_e06,A,reframing_quality,1.0,0.9,True,99,commitment_event,GPT,GPT
154,154_e06,A,evaluative_discipline,1.0,0.8,True,99,commitment_event,GPT,GPT
154,154_e06,A,agency_preservation,3.0,0.9,True,99,commitment_event,GPT,GPT
154,154_e06,A,anchor_management,1.0,0.8,True,99,commitment_event,GPT,GPT
154,154_e06,A,coregulation_uptake,3.0,0.9,True,99,commitment_event,GPT,GPT
154,154_e06,A,timing_fit,3.0,0.9,True,99,commitment_event,GPT,GPT
154,154_e06,A,implementation_grounding,1.0,0.8,True,99,commitment_event,GPT,GPT
154,154_e06,A,cognitive_load_clarity,3.0,0.9,True,99,commitment_event,GPT,GPT
154,154_e06,A,stance_integrity,3.0,0.9,True,99,commitment_event,GPT,GPT
154,154_e06,A,premature_convergence_risk,1.0,0.8,True,99,commitment_event,GPT,GPT
154,154_e06,A,runaway_divergence_risk,1.0,0.8,True,99,commitment_event,GPT,GPT
155,155_e03,A,exploration_opening,3.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,reframing_quality,2.0,0.8,True,78,other,GPT,GPT
155,155_e03,A,evaluative_discipline,1.0,0.7,True,78,other,GPT,GPT
155,155_e03,A,agency_preservation,4.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,anchor_management,3.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,coregulation_uptake,3.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,timing_fit,4.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,implementation_grounding,2.0,0.7,True,78,other,GPT,GPT
155,155_e03,A,cognitive_load_clarity,3.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,stance_integrity,4.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,premature_convergence_risk,0.0,0.9,True,78,other,GPT,GPT
155,155_e03,A,runaway_divergence_risk,0.0,0.9,True,78,other,GPT,GPT
157,157_e04,A,exploration_opening,3.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,reframing_quality,2.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,evaluative_discipline,3.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,agency_preservation,3.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,anchor_management,2.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,coregulation_uptake,3.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,timing_fit,4.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,implementation_grounding,3.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,cognitive_load_clarity,4.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,stance_integrity,4.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,premature_convergence_risk,0.0,1.0,True,142,commitment_event,GPT,GPT
157,157_e04,A,runaway_divergence_risk,0.0,1.0,True,142,commitment_event,GPT,GPT
158,158_e02,A,ALL,,0.0,False,98,other,GPT,GPT
160,160_e01,A,ALL,,0.0,False,43,opening_frame,GPT,GPT
160,160_e03,A,exploration_opening,3.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,reframing_quality,3.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,evaluative_discipline,2.0,0.7,True,114,other,GPT,GPT
160,160_e03,A,agency_preservation,4.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,anchor_management,3.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,coregulation_uptake,3.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,timing_fit,4.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,implementation_grounding,2.0,0.7,True,114,other,GPT,GPT
160,160_e03,A,cognitive_load_clarity,3.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,stance_integrity,4.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,premature_convergence_risk,0.0,0.9,True,114,other,GPT,GPT
160,160_e03,A,runaway_divergence_risk,0.0,0.9,True,114,other,GPT,GPT
161,161_e02,A,exploration_opening,2.0,0.8,True,84,other,GPT,GPT
161,161_e02,A,reframing_quality,1.0,0.7,True,84,other,GPT,GPT
161,161_e02,A,evaluative_discipline,1.0,0.6,True,84,other,GPT,GPT
161,161_e02,A,agency_preservation,3.0,0.9,True,84,other,GPT,GPT
161,161_e02,A,anchor_management,3.0,0.9,True,84,other,GPT,GPT
161,161_e02,A,coregulation_uptake,2.0,0.7,True,84,other,GPT,GPT
161,161_e02,A,timing_fit,3.0,0.9,True,84,other,GPT,GPT
161,161_e02,A,implementation_grounding,1.0,0.6,True,84,other,GPT,GPT
161,161_e02,A,cognitive_load_clarity,3.0,0.9,True,84,other,GPT,GPT
161,161_e02,A,stance_integrity,4.0,0.9,True,84,other,GPT,GPT
161,161_e02,A,premature_convergence_risk,0.0,0.9,True,84,other,GPT,GPT
161,161_e02,A,runaway_divergence_risk,0.0,0.9,True,84,other,GPT,GPT
167,167_e01,A,ALL,,0.0,False,77,opening_frame,Persona,Convergent
167,167_e03,A,exploration_opening,3.0,0.95,True,168,commitment_event,Persona,Convergent
