conversation_id,bt_score
635,-6.246867367964729
937,-6.246867367964729
939,-6.246867367964729
941,-6.246867367964729
943,-2.5245539279577613
945,11.713884182213196
947,14.755125609139387
951,11.456679510222873
953,-6.246867367964729
955,5.331780326363578
957,16.156257255029427
961,-6.246867367964729
969,-6.246867367964729
971,5.0210241780649945
975,-2.571196873012859
979,-6.246867367964729
981,4.137156801764885
983,-2.5245539279577613
985,-6.246867367964729
987,8.902058034059388
989,-6.246867367964729
991,13.730950328533941
995,-6.246867367964729
997,-2.653015602982528
1005,-6.246867367964729
1007,-6.246867367964729
1009,-6.246867367964729
1011,-6.246867367964729
1015,3.4356309152283053
1017,-6.246867367964729
1021,7.1408548235406375
1023,20.634065416230328
1027,-6.246867367964729
1029,-6.246867367964729
1031,2.562653337515574
1033,-2.631091189674411
1035,-6.246867367964729
1043,-2.5245539279577613
1047,20.600507045973636
1049,-2.5245539279577613
1053,-6.246867367964729
1055,-0.7177459281283056
1057,-0.12815336078627837
1059,-6.246867367964729
1061,-6.246867367964729
1063,14.73748433579431
1065,13.377678741417041
1067,-2.524553927957758
1069,-6.246867367964729
1071,-2.5245539279577613
1073,14.812990924825005
1075,0.9775725991391973
1081,5.80256287497361
1083,2.665929265702104
1085,13.280159607958659
1087,-2.582512174041426
1091,-6.246867367964729
1093,-6.246867367964729
1095,-6.246867367964729
1097,9.674833489047984
1099,9.188510103212236
1103,5.463917590586226
1105,-6.246867367964729
1107,-6.246867367964729
1111,-1.0563483206076398
1115,-2.5795877784408248
1119,-6.246867367964729
1125,14.144216429228434
1127,6.708834455507835
1129,18.195331146929377
1133,-6.246867367964729
1135,5.016496511191118
1137,-2.524553927957758
1141,-2.5245539279577613
1143,-6.246867367964729
1145,-6.246867367964729
1147,-6.246867367964729
1151,-6.246867367964729
1155,-6.246867367964729
1157,-6.246867367964729
1159,-6.246867367964729
1161,13.118823970298095
1165,-6.246867367964729
1167,-6.246867367964729
1171,-6.246867367964729
1173,2.732452512171765
1175,-2.8714109700266057
1177,-2.5245539279577613
1179,17.340079457393006
1183,-6.246867367964729
1185,-6.246867367964729
1191,-6.246867367964729
1195,-3.939640061069049
1197,-6.246867367964729
1199,5.822667203145814
1201,-6.246867367964729
1203,13.9505440273674
1211,2.5691389159810107
1217,-0.7138544564277041
1219,-6.246867367964729
1223,-2.6374109325550563
